video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,subscriberCount,duration,definition,caption,publishDayName,durationSecs,tagCount,durationS,publishedYear,publishedMonth,durationSeconds
ztqVVst81OE,Twirl With BTS ♡♡,Jungkook vibing on Bollywood song natu natu 😍😍😍😍😍#bts#shorts#jk#rrr,"Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs

Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Rm', 'Bts', 'Kim namjoon', 'Kim seokjin', 'Jin', 'Jung ho seok', 'J hope', 'Suga', 'Min yoongi', 'Park jimin', 'Jimin', 'Taehyung', 'Kim taehyung', 'Bts Members', 'Bangtan sonyondan', 'Jeon jungkook', 'Jungkook', 'Jk and jimin', 'Jungkook imitating Jimin', 'Minkook', 'Jungkook and Jimin moment', 'Minkook Moments', 'Jk and Jimin love', 'Jk and Jimin funny moments', 'Funny moments', 'Funny moments jk and jimin', 'Jk and Jimin fun with each other']",2023-03-04 05:47:23+00:00,7646,1298,,41,,PT38S,hd,FALSE,Saturday,0 days 00:00:38,27,38,2023,March,38
VjCakn7Bmvs,Twirl With BTS ♡♡,Jungkook🔥🔥❤️❤️🔥🔥❤️❤️ #bts #jk #jungkook #shorts,,,2023-03-03 12:30:04+00:00,319,35,,0,,PT16S,hd,FALSE,Friday,0 days 00:00:16,0,16,2023,March,16
He9VevJjDpM,Twirl With BTS ♡♡,I hate my mind 🙈🙈💜💚💜💚 #bts #taekook #vkook #shorts,,,2023-03-03 12:20:48+00:00,592,53,,1,,PT16S,hd,FALSE,Friday,0 days 00:00:16,0,16,2023,March,16
EwStbXA_UwU,Twirl With BTS ♡♡,The best actor award goes to Taehyung 😂😂😂😂😂😂#bts#shorts#v,"IN THE SOOP
https://youtu.be/_92oH66bW58

Taehyung's Instagram Story update
https://youtu.be/dgFpNUeKSdc

Bts Busan Expo Brand Ambassador for 2030
https://youtu.be/IqUsAwKMl58



Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs

Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Bts', 'Kim namjoon', 'Kim seokjin', 'Jin', 'Jung ho seok', 'J hope', 'Suga', 'Min yoongi', 'Jimin', 'Taehyung', 'Bts Members', 'Bangtan sonyondan', 'Jeon jungkook', 'Jungkook', 'Jungkook and Jin then and now', 'Jungkook and jin', 'Jin and jk teasing each other', 'Jk and jin teasing', 'Teasing', 'Jk jin friendship', 'Love jk jin', 'Jk and jin funny moments', 'Funny video', 'Adorable jk and jin', 'Jk and jin adorable friendship', 'asmr food', 'jin rm', 'bts funny shorts', 'bts Song', 'bts Instagram reels', 'blackpink', 'bts 16 shots dance']",2023-03-03 05:36:52+00:00,1239,163,,2,,PT15S,hd,FALSE,Friday,0 days 00:00:15,32,15,2023,March,15
L5Man1qiCYY,Twirl With BTS ♡♡,Ahhh I'm dead 😍😍😍🔥🔥🔥🔥😍 #bts #jk #shorts #jungkook,,,2023-02-28 12:53:14+00:00,2708,195,,3,,PT14S,hd,FALSE,Tuesday,0 days 00:00:14,0,14,2023,February,14
5U5Ac-kTFHs,Twirl With BTS ♡♡,Nothing he is just trying to say his name perfectly 😂😂😂😂😂 #jk #bts #shorts #jungkook,,,2023-02-28 06:08:47+00:00,366,35,,0,,PT6S,hd,FALSE,Tuesday,0 days 00:00:06,0,6,2023,February,6
HWBV1dn_LtY,Twirl With BTS ♡♡,Tae's deep voice and his style 🔥🥵🥵🥵🔥🔥❤️❤️❤️ #v #bts #taehyung #shorts,,,2023-02-28 03:08:02+00:00,439,52,,0,,PT16S,hd,FALSE,Tuesday,0 days 00:00:16,0,16,2023,February,16
ZZyoD-EOZJk,Twirl With BTS ♡♡,I want this hell 🔥🔥🔥🔥🔥 #bts #v #taehyung #shorts,,,2023-02-26 10:14:05+00:00,1694,244,,1,,PT16S,hd,FALSE,Sunday,0 days 00:00:16,0,16,2023,February,16
jUuzlWeR65M,Twirl With BTS ♡♡,Jungkookie and his mom and dad #bts #jk #shorts,,,2023-02-24 11:56:22+00:00,494,49,,1,,PT11S,hd,FALSE,Friday,0 days 00:00:11,0,11,2023,February,11
_Ry17mUrZn0,Twirl With BTS ♡♡,wait for jungkook's hot twist 🥵🥵🥵🥵🔥🔥🔥🔥#bts #jk #shorts #jungkook,,,2023-02-18 07:11:28+00:00,2402,342,,1,,PT16S,hd,FALSE,Saturday,0 days 00:00:16,0,16,2023,February,16
pkD2OwQiHwI,Twirl With BTS ♡♡,Taehyungie's tata mic mode is on 😂😂😂😍😍😍😍 #bts #v #taehyung #shorts,,,2023-02-15 10:19:52+00:00,579,72,,1,,PT13S,hd,FALSE,Wednesday,0 days 00:00:13,0,13,2023,February,13
fCqusQcnK54,Twirl With BTS ♡♡,Taekook playing against each other 😍😍❤️❤️❤️❤️#bts#shorts#taekook#vkook,"Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs



Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Bts', 'J hope', 'Suga', 'Jimin', 'Taehyung', 'Kim taehyung', 'Bts Members', 'Jeon jungkook', 'Jungkook', 'Taekook Moment', 'Taekook', 'Vkook', 'Tae crying moment', 'V crying', 'Jungkook comforting tae', 'Jk and v', 'Friendship taekook', 'Love taekook', 'Flirt taekook', 'love me', 'like you do', 'Taekook edit', 'Taekook kiss', 'Vkook edit', 'bts shorts', 'taekook status', 'status', 'Bts dance', 'bts songs', 'bts jalebi baby', 'stay alive BTS', 'idol bts', 'bts song', 'bts Instagram Story', 'bts hot edit', 'bts mna 2020']",2023-02-15 05:20:39+00:00,664,73,,0,,PT25S,hd,FALSE,Wednesday,0 days 00:00:25,36,25,2023,February,25
MD5NWCmG0lo,Twirl With BTS ♡♡,Jungkook's weavers live🙈🙈🔥🔥🔥#bts#shorts#jk,,,2023-02-12 11:26:59+00:00,1151,109,,1,,PT16S,hd,FALSE,Sunday,0 days 00:00:16,0,16,2023,February,16
7Nh8_nIFSp4,Twirl With BTS ♡♡,Damn he is so hot 🔥🔥🔥🔥🔥🔥 #bts #jk #shorts,,,2023-02-12 07:23:00+00:00,311,40,,0,,PT11S,hd,FALSE,Sunday,0 days 00:00:11,0,11,2023,February,11
5ih7pVDgGj8,Twirl With BTS ♡♡,Jungkook's that look🔥🔥🔥🔥🥵🥵🥵🥵 #bts #jk #shorts,,,2023-02-08 03:36:13+00:00,514,60,,1,,PT13S,hd,FALSE,Wednesday,0 days 00:00:13,0,13,2023,February,13
1jfec8Y3ab0,Twirl With BTS ♡♡,He said he's not easy to handle🙈🙈❤️❤️❤️ #bts #jk #shorts,,,2023-02-05 04:16:58+00:00,458,50,,1,,PT16S,hd,FALSE,Sunday,0 days 00:00:16,0,16,2023,February,16
2zSIVAKlkUM,Twirl With BTS ♡♡,Taekook Instagram live English subtitles| taekook Ig live 💜💚💜💚#bts#taekook#vkook,"Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs



Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Bts', 'J hope', 'Suga', 'Jimin', 'Taehyung', 'Kim taehyung', 'Bts Members', 'Jeon jungkook', 'Jungkook', 'Taekook Moment', 'Taekook', 'Vkook', 'Tae crying moment', 'V crying', 'Jungkook comforting tae', 'Jk and v', 'Friendship taekook', 'Love taekook', 'Flirt taekook', 'love me', 'like you do', 'Taekook edit', 'Taekook kiss', 'Vkook edit', 'bts shorts', 'taekook status', 'status', 'Bts dance', 'bts songs', 'bts jalebi baby', 'stay alive BTS', 'idol bts', 'bts song', 'bts Instagram Story', 'bts hot edit', 'bts mna 2020']",2023-02-04 13:42:29+00:00,136,10,,0,,PT1M51S,hd,FALSE,Saturday,0 days 00:01:51,36,111,2023,February,111
2vlT567Eb3w,Twirl With BTS ♡♡,Jk explaining how he control his crying 🥺🥺🥺🥺🥺🥺#bts #jk #shorts,,,2023-02-04 12:56:56+00:00,655,75,,1,,PT15S,hd,FALSE,Saturday,0 days 00:00:15,0,15,2023,February,15
